['kmohanta', 202555875, 'impression', '2', 240774465L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.0722687363631596, False, 'time']
['kmohanta', 202555875, 'impression', '3', 240769608L, datetime.datetime(2013, 5, 21, 15, 36, 16), 0.163949961207343, False, 'time']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240774465L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240768561L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240766545L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240767339L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 36, 26), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240774465L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240767339L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240768561L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240766545L, datetime.datetime(2013, 5, 21, 15, 39, 58), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240774465L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.316699132135283, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240767339L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240766545L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240768561L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 21, 15, 41, 11), 0.165832000668002, False, 'best']

['kmohanta', 202555875, 'impression', '3', 240767241L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.165832000668002, False, 'best']
['kmohanta', 202555875, 'impression', '5', 240768561L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.124349052669826, False, 'best']
['kmohanta', 202555875, 'impression', '7', 240766545L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.0879931711015565, False, 'best']
['kmohanta', 202555875, 'impression', '6', 240767339L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.0967197695479225, False, 'best']
['kmohanta', 202555875, 'impression', '1', 240766426L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.565726285583084, False, 'best']
['kmohanta', 202555875, 'impression', '4', 240769608L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.163949961207343, False, 'best']
['kmohanta', 202555875, 'impression', '8', 240774465L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.0722687363631596, False, 'best']
['kmohanta', 202555875, 'impression', '2', 240799993L, datetime.datetime(2013, 5, 25, 11, 29, 27), 0.316699132135283, False, 'best']

