['anouska-early', 202581785, 'impression', '3', 241323306L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.433295874419829, False, 'best']
['anouska-early', 202581785, 'impression', '5', 241391891L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.3392867301589, False, 'best']
['anouska-early', 202581785, 'impression', '8', 241365834L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.246542142902172, False, 'best']
['anouska-early', 202581785, 'impression', '10', 241300572L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.203877528448094, False, 'best']
['anouska-early', 202581785, 'impression', '9', 241316027L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.218480939469537, False, 'best']
['anouska-early', 202581785, 'impression', '7', 241304284L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.246769695119207, False, 'best']
['anouska-early', 202581785, 'impression', '17', 241319421L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.0881218413380143, False, 'best']
['anouska-early', 202581785, 'impression', '1', 241314133L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.600076216532986, False, 'best']
['anouska-early', 202581785, 'impression', '11', 241370753L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.19868602100327, False, 'best']
['anouska-early', 202581785, 'impression', '18', 241300549L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.0851063807900816, False, 'best']
['anouska-early', 202581785, 'impression', '15', 241341104L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.130903076673504, False, 'best']
['anouska-early', 202581785, 'impression', '12', 241328023L, datetime.datetime(2013, 5, 27, 11, 11, 48), 0.188900058401841, False, 'best']
['anouska-early', 202581785, 'view_full_application_via_name', '15', 241341104L, datetime.datetime(2013, 5, 27, 11, 11, 56), 0.130903076673504, False, 'best']

