['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 29, 12, 7, 19), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241280402L, datetime.datetime(2013, 5, 29, 12, 7, 24), 0.331959815510552, False, 'time']

['mirzashahnaz', 202569677, 'impression', '2', 241100994L, datetime.datetime(2013, 5, 29, 21, 22, 27), 0.686611856941938, False, 'time']
['mirzashahnaz', 202569677, 'impression', '5', 241044404L, datetime.datetime(2013, 5, 29, 21, 22, 27), 0.32154048773709, False, 'time']
['mirzashahnaz', 202569677, 'impression', '3', 241046765L, datetime.datetime(2013, 5, 29, 21, 22, 27), 0.294099610497063, False, 'time']
['mirzashahnaz', 202569677, 'impression', '4', 241045820L, datetime.datetime(2013, 5, 29, 21, 22, 27), 0.203669893118469, False, 'time']
['mirzashahnaz', 202569677, 'impression', '1', 241280402L, datetime.datetime(2013, 5, 29, 21, 22, 27), 0.331959815510552, False, 'time']
['mirzashahnaz', 202569677, 'view_full_application_via_name', '1', 241280402L, datetime.datetime(2013, 5, 29, 21, 22, 32), 0.331959815510552, False, 'time']

