['nr4life74', 202555650, 'impression', '9', 240762351L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.12714398280585, False, 'time']
['nr4life74', 202555650, 'impression', '11', 240762332L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.0837364652875054, False, 'time']
['nr4life74', 202555650, 'impression', '8', 240762678L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.297730834358009, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763512L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.183965093678314, False, 'time']
['nr4life74', 202555650, 'impression', '2', 240763432L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.162418810816559, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763512L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.183965093678314, False, 'time']
['nr4life74', 202555650, 'impression', '10', 240762349L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.161517954267951, False, 'time']
['nr4life74', 202555650, 'impression', '18', 240761358L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.11115132607187, False, 'time']
['nr4life74', 202555650, 'impression', '13', 240762267L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.0362959196605934, False, 'time']
['nr4life74', 202555650, 'impression', '6', 240763151L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.226406177363755, False, 'time']
['nr4life74', 202555650, 'impression', '20', 240761126L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.0371800804712246, False, 'time']
['nr4life74', 202555650, 'impression', '7', 240762913L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.105295889904784, False, 'time']
['nr4life74', 202555650, 'impression', '5', 240763302L, datetime.datetime(2013, 5, 19, 15, 10, 55), 0.0439381442956746, False, 'time']
['nr4life74', 202555650, 'impression', '1', 240763512L, datetime.datetime(2013, 5, 19, 15, 10, 57), 0.183965093678314, False, 'time']
['nr4life74', 202555650, 'impression', '2', 240763432L, datetime.datetime(2013, 5, 19, 15, 11, 1), 0.162418810816559, False, 'time']
['nr4life74', 202555650, 'impression', '3', 240763393L, datetime.datetime(2013, 5, 19, 15, 11, 6), 0.177813835297544, False, 'time']
['nr4life74', 202555650, 'impression', '4', 240763347L, datetime.datetime(2013, 5, 19, 15, 11, 11), 0.0787065631952995, False, 'time']
