['headhunterm', 202559973, 'view_full_application', '1', 240875342L, datetime.datetime(2013, 5, 21, 11, 47, 21), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240855912L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.0603180981897257, False, 'best']
['headhunterm', 202559973, 'impression', '8', 240862541L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.0298626162288913, False, 'best']
['headhunterm', 202559973, 'impression', '5', 240865471L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.159773286487568, False, 'best']
['headhunterm', 202559973, 'impression', '6', 240912153L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.0817237039640775, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '3', 240915187L, datetime.datetime(2013, 5, 21, 12, 4, 46), 0.187128026019262, False, 'best']
['headhunterm', 202559973, 'expand_tile', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 4, 52), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'collapse_tile', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 4, 57), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'expand_tile', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 5, 1), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'view_full_application', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 5, 13), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '4', 240857834L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.160180771670813, False, 'best']
['headhunterm', 202559973, 'impression', '1', 240875342L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.303361181830259, False, 'best']
['headhunterm', 202559973, 'impression', '2', 240855912L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.203840915721513, False, 'best']
['headhunterm', 202559973, 'impression', '7', 240877363L, datetime.datetime(2013, 5, 21, 12, 20, 3), 0.0603180981897257, False, 'best']
