['intervisiontv', 202557453, 'impression', '4', 240801655L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 22, 0, 23, 15), 0.483354787487546, False, 'best']

['intervisiontv', 202557453, 'impression', '4', 240801655L, datetime.datetime(2013, 5, 22, 3, 3), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 22, 3, 3), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240969931L, datetime.datetime(2013, 5, 22, 3, 3), 0.891767480457827, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240887395L, datetime.datetime(2013, 5, 22, 3, 3), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240824424L, datetime.datetime(2013, 5, 22, 3, 3), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240805584L, datetime.datetime(2013, 5, 22, 3, 3), 0.0459319175887046, False, 'best']

['intervisiontv', 202557453, 'impression', '3', 240977330L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240969931L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.891767480457827, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240824424L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '4', 240887395L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 23, 1, 23, 1), 0.313007407938011, False, 'best']

['intervisiontv', 202557453, 'impression', '4', 240887395L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.362077361844407, False, 'best']
['intervisiontv', 202557453, 'impression', '6', 240824424L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.0944109001048404, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240969931L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.891767480457827, False, 'best']
['intervisiontv', 202557453, 'impression', '7', 240805584L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.0459319175887046, False, 'best']
['intervisiontv', 202557453, 'impression', '3', 240977330L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.424976790984194, False, 'best']
['intervisiontv', 202557453, 'impression', '2', 240967397L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.483354787487546, False, 'best']
['intervisiontv', 202557453, 'impression', '5', 240801655L, datetime.datetime(2013, 5, 23, 2, 11, 57), 0.313007407938011, False, 'best']
['intervisiontv', 202557453, 'impression', '1', 240969931L, datetime.datetime(2013, 5, 23, 2, 21, 59), 0.891767480457827, False, 'best']
