['janeyjosh', 202545090, 'impression', '5', 240536703L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240537863L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240539997L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.274871874194045, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240539220L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.100513810840336, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240536095L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240539657L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.153638921797833, False, 'best']
['janeyjosh', 202545090, 'impression', '15', 240548965L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.0567991058129492, False, 'best']
['janeyjosh', 202545090, 'impression', '16', 240549240L, datetime.datetime(2013, 5, 17, 2, 34, 57), 0.157766917586618, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '16', 240549240L, datetime.datetime(2013, 5, 17, 2, 35, 3), 0.157766917586618, False, 'best']
['janeyjosh', 202545090, 'view_full_application', '16', 240549240L, datetime.datetime(2013, 5, 17, 2, 35, 10), 0.157766917586618, False, 'best']
['janeyjosh', 202545090, 'impression', '15', 240548965L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.0567991058129492, False, 'best']
['janeyjosh', 202545090, 'impression', '3', 240536095L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.188237446292619, False, 'best']
['janeyjosh', 202545090, 'impression', '10', 240539657L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.153638921797833, False, 'best']
['janeyjosh', 202545090, 'impression', '16', 240549240L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.157766917586618, False, 'best']
['janeyjosh', 202545090, 'impression', '4', 240536309L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.0525926203602796, False, 'best']
['janeyjosh', 202545090, 'impression', '5', 240536703L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.0663401322472486, False, 'best']
['janeyjosh', 202545090, 'impression', '1', 240535220L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'impression', '11', 240539997L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.274871874194045, False, 'best']
['janeyjosh', 202545090, 'impression', '9', 240539220L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.100513810840336, False, 'best']
['janeyjosh', 202545090, 'impression', '8', 240537863L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.0576862199400525, False, 'best']
['janeyjosh', 202545090, 'impression', '2', 240535231L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.0684218062721129, False, 'best']
['janeyjosh', 202545090, 'impression', '12', 240540203L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.344818249394121, False, 'best']
['janeyjosh', 202545090, 'impression', '7', 240537500L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.207713591009055, False, 'best']
['janeyjosh', 202545090, 'impression', '13', 240542403L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.169999628228591, False, 'best']
['janeyjosh', 202545090, 'impression', '17', 240555851L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.147204540221277, False, 'best']
['janeyjosh', 202545090, 'impression', '14', 240548847L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.185687101094798, False, 'best']
['janeyjosh', 202545090, 'impression', '6', 240536706L, datetime.datetime(2013, 5, 17, 2, 42, 17), 0.0762078464666087, False, 'best']
['janeyjosh', 202545090, 'shortlist', '1', 240535220L, datetime.datetime(2013, 5, 17, 2, 42, 26), 0.055675083246369, False, 'best']
['janeyjosh', 202545090, 'expand_tile', '10', 240539657L, datetime.datetime(2013, 5, 17, 2, 42, 37), 0.153638921797833, False, 'best']
['janeyjosh', 202545090, 'impression', '16', 240549240L, datetime.datetime(2013, 5, 17, 2, 47, 40), 0.157766917586618, False, 'best']
