['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 10, 20, 19), 0.100759945324346, False, 'time']

['tapdance', 202553000, 'impression', '4', 240728384L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '2', 240739301L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '10', 240703353L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '7', 240710583L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '9', 240704538L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '8', 240704586L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '11', 240702947L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '1', 240742151L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702009L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'impression', '5', 240715392L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '6', 240711612L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '3', 240733698L, datetime.datetime(2013, 5, 19, 12, 39, 8), 0.0409857763272987, False, 'time']

['tapdance', 202553000, 'impression', '9', 240704586L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.109639047129486, False, 'time']
['tapdance', 202553000, 'impression', '8', 240710583L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0349111701498908, False, 'time']
['tapdance', 202553000, 'impression', '10', 240704538L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0989776669347951, False, 'time']
['tapdance', 202553000, 'impression', '7', 240711612L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0300467502315945, False, 'time']
['tapdance', 202553000, 'impression', '4', 240733698L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0409857763272987, False, 'time']
['tapdance', 202553000, 'impression', '12', 240702947L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0560896560115339, False, 'time']
['tapdance', 202553000, 'impression', '1', 240762901L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0907983334606283, False, 'time']
['tapdance', 202553000, 'impression', '3', 240739301L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0226598027721891, False, 'time']
['tapdance', 202553000, 'impression', '2', 240742151L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.03632160115783, False, 'time']
['tapdance', 202553000, 'impression', '5', 240728384L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.100759945324346, False, 'time']
['tapdance', 202553000, 'impression', '11', 240703353L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0150081184850569, False, 'time']
['tapdance', 202553000, 'impression', '6', 240715392L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0752068579403339, False, 'time']
['tapdance', 202553000, 'impression', '13', 240702009L, datetime.datetime(2013, 5, 19, 16, 25, 16), 0.0190270699220532, False, 'time']
['tapdance', 202553000, 'expand_tile', '1', 240762901L, datetime.datetime(2013, 5, 19, 16, 25, 28), 0.0907983334606283, False, 'time']
['tapdance', 202553000, 'impression', '1', 240762901L, datetime.datetime(2013, 5, 19, 16, 26, 11), 0.0907983334606283, False, 'time']
['tapdance', 202553000, 'view_full_application', '1', 240762901L, datetime.datetime(2013, 5, 19, 16, 26, 21), 0.0907983334606283, False, 'time']
['tapdance', 202553000, 'impression', '4', 240733698L, datetime.datetime(2013, 5, 19, 16, 27, 26), 0.0409857763272987, False, 'time']
