['martylwhite', 202586565, 'impression', '2', 241436016L, datetime.datetime(2013, 5, 27, 23, 40, 42), 0.225881791103784, False, 'time']
['martylwhite', 202586565, 'impression', '3', 241416438L, datetime.datetime(2013, 5, 27, 23, 40, 42), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'view_full_application_via_name', '1', 241436359L, datetime.datetime(2013, 5, 27, 23, 40, 45), 0.147033311630205, False, 'time']

['martylwhite', 202586565, 'impression', '3', 241413685L, datetime.datetime(2013, 5, 28, 0, 15), 0.195387364075943, True, 'time']
['martylwhite', 202586565, 'impression', '2', 241416438L, datetime.datetime(2013, 5, 28, 0, 15), 0.178756655971903, False, 'time']
['martylwhite', 202586565, 'impression', '7', 241412488L, datetime.datetime(2013, 5, 28, 0, 15), 0.105881218400996, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241436359L, datetime.datetime(2013, 5, 28, 0, 15), 0.147033311630205, False, 'time']
['martylwhite', 202586565, 'impression', '4', 241413230L, datetime.datetime(2013, 5, 28, 0, 15), 0.104640760296971, False, 'time']
['martylwhite', 202586565, 'impression', '5', 241412824L, datetime.datetime(2013, 5, 28, 0, 15), 0.0938457482894488, False, 'time']
['martylwhite', 202586565, 'impression', '6', 241412686L, datetime.datetime(2013, 5, 28, 0, 15), 0.207846967063467, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241436359L, datetime.datetime(2013, 5, 28, 0, 15, 12), 0.147033311630205, False, 'time']
['martylwhite', 202586565, 'impression', '1', 241436359L, datetime.datetime(2013, 5, 28, 0, 15, 13), 0.147033311630205, False, 'time']
