['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 10, 41, 5), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '2', 241163128L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.197640814017913, False, 'time']
['lukeywn', 202574491, 'impression', '9', 241139941L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.584712020137894, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.272725961429649, True, 'time']
['lukeywn', 202574491, 'impression', '10', 241139922L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.35209001791646, False, 'time']
['lukeywn', 202574491, 'impression', '4', 241152638L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.235072074525441, False, 'time']
['lukeywn', 202574491, 'impression', '8', 241139956L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.0864894072216977, False, 'time']
['lukeywn', 202574491, 'impression', '3', 241156830L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.154703841191242, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 10, 58, 50), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '5', 241141301L, datetime.datetime(2013, 5, 24, 11, 1, 17), 0.3136933981631, False, 'time']
['lukeywn', 202574491, 'impression', '6', 241141007L, datetime.datetime(2013, 5, 24, 11, 1, 17), 0.224413786813994, False, 'time']
['lukeywn', 202574491, 'impression', '1', 241168022L, datetime.datetime(2013, 5, 24, 11, 1, 17), 0.204973592695504, False, 'time']
['lukeywn', 202574491, 'impression', '7', 241140051L, datetime.datetime(2013, 5, 24, 11, 1, 17), 0.272725961429649, True, 'time']
