['scottmacea', 202550938, 'expand_tile', '1', 240655236L, datetime.datetime(2013, 5, 17, 20, 0, 21), 0.221705061939086, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240655236L, datetime.datetime(2013, 5, 17, 20, 0, 47), 0.221705061939086, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240655236L, datetime.datetime(2013, 5, 17, 20, 0, 47), 0.221705061939086, False, 'time']
['scottmacea', 202550938, 'expand_tile', '1', 240655236L, datetime.datetime(2013, 5, 17, 20, 0, 47), 0.221705061939086, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240652952L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240653903L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240653561L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240653112L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240652692L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240652860L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240652868L, datetime.datetime(2013, 5, 17, 20, 0, 51), 0.155010714928309, False, 'time']

['scottmacea', 202550938, 'impression', '14', 240652952L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0840319564758249, False, 'time']
['scottmacea', 202550938, 'impression', '4', 240656653L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0532021812097757, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240658399L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0342948602137688, False, 'time']
['scottmacea', 202550938, 'impression', '7', 240656375L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.05780613393068, False, 'time']
['scottmacea', 202550938, 'impression', '3', 240657095L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0287625946991043, False, 'time']
['scottmacea', 202550938, 'impression', '8', 240656083L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0379851211895566, False, 'time']
['scottmacea', 202550938, 'impression', '6', 240656569L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0555205388206887, False, 'time']
['scottmacea', 202550938, 'impression', '9', 240656009L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0129533147685431, False, 'time']
['scottmacea', 202550938, 'impression', '5', 240656587L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0708273064842643, False, 'time']
['scottmacea', 202550938, 'impression', '17', 240652692L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.224912568483777, False, 'time']
['scottmacea', 202550938, 'impression', '2', 240657098L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0862184884978678, False, 'time']
['scottmacea', 202550938, 'impression', '10', 240655570L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0638148766696486, False, 'time']
['scottmacea', 202550938, 'impression', '16', 240652860L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0237565078784444, False, 'time']
['scottmacea', 202550938, 'impression', '15', 240652868L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.155010714928309, False, 'time']
['scottmacea', 202550938, 'impression', '11', 240653903L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.219958057450453, False, 'time']
['scottmacea', 202550938, 'impression', '12', 240653561L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.178042948902462, False, 'time']
['scottmacea', 202550938, 'impression', '13', 240653112L, datetime.datetime(2013, 5, 17, 21, 15, 26), 0.0530416457187257, False, 'time']
['scottmacea', 202550938, 'expand_tile', '1', 240658399L, datetime.datetime(2013, 5, 17, 21, 15, 29), 0.0342948602137688, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240658399L, datetime.datetime(2013, 5, 17, 21, 15, 31), 0.0342948602137688, False, 'time']
['scottmacea', 202550938, 'impression', '1', 240658399L, datetime.datetime(2013, 5, 17, 21, 15, 33), 0.0342948602137688, False, 'time']
['scottmacea', 202550938, 'expand_tile', '1', 240658399L, datetime.datetime(2013, 5, 17, 21, 15, 34), 0.0342948602137688, False, 'time']
