['ally_c', 202559141, 'impression', '4', 240877661L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.395381996907265, False, 'best']
['ally_c', 202559141, 'impression', '9', 240848219L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.195265153597284, False, 'best']
['ally_c', 202559141, 'impression', '2', 240841122L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'impression', '6', 240845994L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.323068615608153, False, 'best']
['ally_c', 202559141, 'impression', '12', 240846584L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.0209439125312962, False, 'best']
['ally_c', 202559141, 'impression', '11', 240841085L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.118210744437084, False, 'best']
['ally_c', 202559141, 'impression', '7', 240879012L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.318929453138562, False, 'best']
['ally_c', 202559141, 'impression', '8', 240839993L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '10', 240849835L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.176347412995585, False, 'best']
['ally_c', 202559141, 'impression', '5', 240860043L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.326003332273078, False, 'best']
['ally_c', 202559141, 'impression', '1', 240845580L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.494761300917376, True, 'best']
['ally_c', 202559141, 'impression', '3', 240841209L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.402662731760667, False, 'best']
['ally_c', 202559141, 'impression', '13', 240848911L, datetime.datetime(2013, 5, 21, 2, 2, 5), 0.0209362142677853, False, 'best']
['ally_c', 202559141, 'hide', '4', 240877661L, datetime.datetime(2013, 5, 21, 2, 2, 19), 0.395381996907265, False, 'best']
['ally_c', 202559141, 'hide', '5', 240860043L, datetime.datetime(2013, 5, 21, 2, 2, 20), 0.326003332273078, False, 'best']
['ally_c', 202559141, 'hide', '7', 240879012L, datetime.datetime(2013, 5, 21, 2, 2, 23), 0.318929453138562, False, 'best']
['ally_c', 202559141, 'hide', '9', 240848219L, datetime.datetime(2013, 5, 21, 2, 2, 25), 0.195265153597284, False, 'best']
['ally_c', 202559141, 'hide', '10', 240849835L, datetime.datetime(2013, 5, 21, 2, 2, 27), 0.176347412995585, False, 'best']
['ally_c', 202559141, 'hide', '11', 240841085L, datetime.datetime(2013, 5, 21, 2, 2, 28), 0.118210744437084, False, 'best']
['ally_c', 202559141, 'hide', '12', 240846584L, datetime.datetime(2013, 5, 21, 2, 2, 29), 0.0209439125312962, False, 'best']
['ally_c', 202559141, 'hide', '13', 240848911L, datetime.datetime(2013, 5, 21, 2, 2, 31), 0.0209362142677853, False, 'best']

['ally_c', 202559141, 'impression', '3', 240841209L, datetime.datetime(2013, 5, 21, 3, 26, 53), 0.402662731760667, False, 'best']
['ally_c', 202559141, 'impression', '1', 240845580L, datetime.datetime(2013, 5, 21, 3, 26, 53), 0.494761300917376, True, 'best']
['ally_c', 202559141, 'impression', '4', 240845994L, datetime.datetime(2013, 5, 21, 3, 26, 53), 0.323068615608153, False, 'best']
['ally_c', 202559141, 'impression', '2', 240841122L, datetime.datetime(2013, 5, 21, 3, 26, 53), 0.411554934827996, False, 'best']
['ally_c', 202559141, 'impression', '5', 240839993L, datetime.datetime(2013, 5, 21, 3, 26, 53), 0.293823247927987, False, 'best']
['ally_c', 202559141, 'impression', '4', 240845994L, datetime.datetime(2013, 5, 21, 3, 27, 1), 0.323068615608153, False, 'best']
