['stuayre', 202587496, 'impression', '4', 241433962L, datetime.datetime(2013, 5, 29, 15, 37, 35), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '5', 241448249L, datetime.datetime(2013, 5, 29, 15, 37, 35), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '2', 241445834L, datetime.datetime(2013, 5, 29, 15, 37, 35), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433535L, datetime.datetime(2013, 5, 29, 15, 37, 35), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '2', 241445834L, datetime.datetime(2013, 5, 29, 15, 41, 36), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '5', 241448249L, datetime.datetime(2013, 5, 29, 15, 41, 36), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433962L, datetime.datetime(2013, 5, 29, 15, 41, 36), 0.240516909380478, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 29, 15, 41, 36), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433535L, datetime.datetime(2013, 5, 29, 15, 41, 36), 0.251093383837818, False, 'best']

['stuayre', 202587496, 'impression', '5', 241448249L, datetime.datetime(2013, 5, 29, 21, 9, 37), 0.192863111476489, False, 'best']
['stuayre', 202587496, 'impression', '1', 241433226L, datetime.datetime(2013, 5, 29, 21, 9, 37), 0.327950282311959, False, 'best']
['stuayre', 202587496, 'impression', '2', 241445834L, datetime.datetime(2013, 5, 29, 21, 9, 37), 0.304712804121579, False, 'best']
['stuayre', 202587496, 'impression', '3', 241433535L, datetime.datetime(2013, 5, 29, 21, 9, 37), 0.251093383837818, False, 'best']
['stuayre', 202587496, 'impression', '4', 241433962L, datetime.datetime(2013, 5, 29, 21, 9, 37), 0.240516909380478, False, 'best']

