['whitie7', 202570449, 'expand_tile', '22', 241055617L, datetime.datetime(2013, 5, 23, 2, 58, 21), 0.0519852613251697, False, 'time']
['whitie7', 202570449, 'impression', '21', 241055663L, datetime.datetime(2013, 5, 23, 2, 59, 4), 0.0302056553879143, False, 'time']
['whitie7', 202570449, 'impression', '21', 241055663L, datetime.datetime(2013, 5, 23, 2, 59, 4), 0.0302056553879143, False, 'time']
['whitie7', 202570449, 'impression', '22', 241055617L, datetime.datetime(2013, 5, 23, 2, 59, 5), 0.0519852613251697, False, 'time']
['whitie7', 202570449, 'impression', '20', 241055735L, datetime.datetime(2013, 5, 23, 2, 59, 7), 0.0678467780442017, False, 'time']
['whitie7', 202570449, 'expand_tile', '20', 241055735L, datetime.datetime(2013, 5, 23, 2, 59, 10), 0.0678467780442017, False, 'time']
['whitie7', 202570449, 'view_full_application_via_name', '20', 241055735L, datetime.datetime(2013, 5, 23, 2, 59, 17), 0.0678467780442017, False, 'time']
['whitie7', 202570449, 'impression', '5', 241057165L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0189724478220101, False, 'time']
['whitie7', 202570449, 'impression', '7', 241056711L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0756640608733951, False, 'time']
['whitie7', 202570449, 'impression', '1', 241064131L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.103781876878327, False, 'time']
['whitie7', 202570449, 'impression', '2', 241061521L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.130544053655658, False, 'time']
['whitie7', 202570449, 'impression', '18', 241055735L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0678467780442017, False, 'time']
['whitie7', 202570449, 'impression', '3', 241061085L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0358816386182982, True, 'time']
['whitie7', 202570449, 'impression', '6', 241056813L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0527774906491262, False, 'time']
['whitie7', 202570449, 'impression', '11', 241056281L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0486642823710513, False, 'time']
['whitie7', 202570449, 'impression', '10', 241056337L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0193109962158702, False, 'time']
['whitie7', 202570449, 'impression', '20', 241055570L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.11228480464631, False, 'time']
['whitie7', 202570449, 'impression', '9', 241056417L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0456264832862965, False, 'time']
['whitie7', 202570449, 'impression', '14', 241056026L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0395578990411584, False, 'time']
['whitie7', 202570449, 'impression', '17', 241055765L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0149523490997816, False, 'time']
['whitie7', 202570449, 'impression', '15', 241055997L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0393808181914625, False, 'time']
['whitie7', 202570449, 'impression', '16', 241055965L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0226132854406155, False, 'time']
['whitie7', 202570449, 'impression', '8', 241056529L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.00945334083661363, False, 'time']
['whitie7', 202570449, 'impression', '19', 241055617L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0519852613251697, False, 'time']
['whitie7', 202570449, 'impression', '12', 241056091L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0588286145791631, False, 'time']
['whitie7', 202570449, 'impression', '4', 241057350L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.833726143409105, False, 'time']
['whitie7', 202570449, 'impression', '13', 241056059L, datetime.datetime(2013, 5, 23, 2, 59, 44), 0.0339510727080216, False, 'time']
['whitie7', 202570449, 'impression', '20', 241055570L, datetime.datetime(2013, 5, 23, 2, 59, 49), 0.11228480464631, False, 'time']
['whitie7', 202570449, 'impression', '20', 241055570L, datetime.datetime(2013, 5, 23, 2, 59, 49), 0.11228480464631, False, 'time']
['whitie7', 202570449, 'expand_tile', '21', 241055524L, datetime.datetime(2013, 5, 23, 2, 59, 55), 0.0390325616953987, False, 'time']
['whitie7', 202570449, 'view_full_application_via_name', '21', 241055524L, datetime.datetime(2013, 5, 23, 3, 0, 17), 0.0390325616953987, False, 'time']
['whitie7', 202570449, 'impression', '11', 241056281L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0486642823710513, False, 'time']
['whitie7', 202570449, 'impression', '9', 241056417L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0456264832862965, False, 'time']
['whitie7', 202570449, 'impression', '10', 241056337L, datetime.datetime(2013, 5, 23, 3, 0, 34), 0.0193109962158702, False, 'time']
