['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 4, 9, 19), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '11', 240903495L, datetime.datetime(2013, 5, 22, 4, 9, 22), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'shortlist', '11', 240903495L, datetime.datetime(2013, 5, 22, 4, 9, 25), 0.119035854974089, False, 'best']
['marijowc', 202562449, 'expand_tile', '10', 240914458L, datetime.datetime(2013, 5, 22, 4, 9, 29), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'view_full_application', '10', 240914458L, datetime.datetime(2013, 5, 22, 4, 9, 31), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '12', 240906646L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.0963644208777761, False, 'best']
['marijowc', 202562449, 'impression', '8', 240922216L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.135175541360097, False, 'best']
['marijowc', 202562449, 'impression', '10', 240914458L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.129706173072145, False, 'best']
['marijowc', 202562449, 'impression', '1', 240969489L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.306958881269832, False, 'best']
['marijowc', 202562449, 'impression', '5', 240904075L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.148865760125327, False, 'best']
['marijowc', 202562449, 'impression', '9', 240902868L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.134784996819375, False, 'best']
['marijowc', 202562449, 'impression', '6', 240906007L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.145127322198507, False, 'best']
['marijowc', 202562449, 'impression', '7', 240910255L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.140687190250738, False, 'best']
['marijowc', 202562449, 'impression', '4', 240905561L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.153044564379832, False, 'best']
['marijowc', 202562449, 'impression', '3', 240911885L, datetime.datetime(2013, 5, 22, 4, 11, 1), 0.206153199059723, False, 'best']
