['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 22, 7, 9, 2), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 7, 9, 2), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 7, 9, 2), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240920019L, datetime.datetime(2013, 5, 22, 7, 11, 51), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 7, 11, 51), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 7, 11, 51), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 22, 7, 11, 51), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 22, 7, 11, 51), 0.125957323697445, False, 'time']

['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 10, 1, 50), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 22, 10, 1, 50), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '5', 240920019L, datetime.datetime(2013, 5, 22, 10, 1, 50), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 10, 1, 50), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240932774L, datetime.datetime(2013, 5, 22, 10, 1, 50), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'view_full_application_via_name', '3', 240932774L, datetime.datetime(2013, 5, 22, 10, 2, 16), 0.0884164181567716, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 10, 5, 49), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240925423L, datetime.datetime(2013, 5, 22, 10, 5, 49), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240920019L, datetime.datetime(2013, 5, 22, 10, 5, 49), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 10, 5, 49), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'view_full_application_via_name', '3', 240925423L, datetime.datetime(2013, 5, 22, 10, 5, 57), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 10, 6, 18), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240925423L, datetime.datetime(2013, 5, 22, 10, 6, 18), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240920019L, datetime.datetime(2013, 5, 22, 10, 6, 18), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 10, 6, 18), 0.0471081401079702, False, 'time']

['pramodchauhan80', 202563078, 'impression', '4', 240920019L, datetime.datetime(2013, 5, 22, 11, 49, 41), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240925423L, datetime.datetime(2013, 5, 22, 11, 49, 41), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 11, 49, 41), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 11, 49, 41), 0.0471081401079702, False, 'time']

['pramodchauhan80', 202563078, 'impression', '3', 240925423L, datetime.datetime(2013, 5, 22, 18, 27, 43), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240920019L, datetime.datetime(2013, 5, 22, 18, 27, 43), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 18, 27, 43), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 18, 27, 43), 0.0471081401079702, False, 'time']

['pramodchauhan80', 202563078, 'impression', '2', 240934175L, datetime.datetime(2013, 5, 22, 21, 1, 56), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240920019L, datetime.datetime(2013, 5, 22, 21, 1, 56), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240925423L, datetime.datetime(2013, 5, 22, 21, 1, 56), 0.125957323697445, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240935923L, datetime.datetime(2013, 5, 22, 21, 1, 56), 0.0471081401079702, False, 'time']

['pramodchauhan80', 202563078, 'impression', '5', 240920019L, datetime.datetime(2013, 5, 23, 4, 30, 31), 0.0923892075852996, False, 'time']
['pramodchauhan80', 202563078, 'impression', '2', 240935923L, datetime.datetime(2013, 5, 23, 4, 30, 31), 0.0471081401079702, False, 'time']
['pramodchauhan80', 202563078, 'impression', '1', 240955716L, datetime.datetime(2013, 5, 23, 4, 30, 31), 0.170945666481772, True, 'time']
['pramodchauhan80', 202563078, 'impression', '3', 240934175L, datetime.datetime(2013, 5, 23, 4, 30, 31), 0.0996946428362141, False, 'time']
['pramodchauhan80', 202563078, 'impression', '4', 240925423L, datetime.datetime(2013, 5, 23, 4, 30, 31), 0.125957323697445, False, 'time']

['pramodchauhan80', 202563078, 'impression', '1', 240955716L, datetime.datetime(2013, 5, 23, 8, 43, 44), 0.170945666481772, True, 'time']
