['gabriel79a', 202541137, 'impression', '4', 240471616L, datetime.datetime(2013, 5, 15, 18, 31, 52), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'shortlist', '2', 240476828L, datetime.datetime(2013, 5, 15, 18, 31, 57), 0.42332291514193, True, 'time']
['gabriel79a', 202541137, 'view_full_application_via_name', '1', 240479450L, datetime.datetime(2013, 5, 15, 18, 32, 4), 0.113794165237672, False, 'time']

['gabriel79a', 202541137, 'impression', '10', 240457164L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.0993227462438755, False, 'time']
['gabriel79a', 202541137, 'impression', '5', 240469937L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.148656060430242, False, 'time']
['gabriel79a', 202541137, 'impression', '9', 240458115L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.152840194808424, False, 'time']
['gabriel79a', 202541137, 'impression', '1', 240479450L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.113794165237672, False, 'time']
['gabriel79a', 202541137, 'impression', '4', 240471616L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.307193353390644, False, 'time']
['gabriel79a', 202541137, 'impression', '2', 240476828L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.42332291514193, True, 'time']
['gabriel79a', 202541137, 'impression', '3', 240476716L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.112218242760778, False, 'time']
['gabriel79a', 202541137, 'impression', '8', 240460100L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.0941876106825039, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240460949L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240460580L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.141791731208531, False, 'time']
['gabriel79a', 202541137, 'impression', '11', 240455419L, datetime.datetime(2013, 5, 15, 21, 56, 38), 0.195356996276039, False, 'time']
['gabriel79a', 202541137, 'impression', '6', 240460949L, datetime.datetime(2013, 5, 15, 22, 20, 36), 0.102254649343164, False, 'time']
['gabriel79a', 202541137, 'impression', '7', 240460580L, datetime.datetime(2013, 5, 15, 22, 20, 36), 0.141791731208531, False, 'time']
