['vince32', 202546163, 'expand_tile', '7', 240586941L, datetime.datetime(2013, 5, 17, 3, 58, 17), 0.103320108082439, False, 'best']
['vince32', 202546163, 'view_full_application_via_name', '7', 240586941L, datetime.datetime(2013, 5, 17, 3, 58, 47), 0.103320108082439, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 17, 3, 59, 25), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '5', 240586941L, datetime.datetime(2013, 5, 17, 3, 59, 25), 0.103320108082439, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 17, 3, 59, 25), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 17, 3, 59, 25), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 17, 3, 59, 25), 0.399767444293596, False, 'best']
['vince32', 202546163, 'hide', '5', 240586941L, datetime.datetime(2013, 5, 17, 3, 59, 28), 0.103320108082439, False, 'best']

['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 22, 13, 44, 28), 0.399767444293596, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 22, 13, 44, 28), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 22, 13, 44, 28), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 22, 13, 44, 28), 0.315170405392125, False, 'best']

['vince32', 202546163, 'impression', '4', 240570501L, datetime.datetime(2013, 5, 22, 20, 53, 8), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '2', 240561320L, datetime.datetime(2013, 5, 22, 20, 53, 8), 0.450109116572568, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 22, 20, 53, 8), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '3', 240567469L, datetime.datetime(2013, 5, 22, 20, 53, 8), 0.399767444293596, False, 'best']

['vince32', 202546163, 'impression', '5', 241055423L, datetime.datetime(2013, 5, 23, 0, 16, 39), 0.259927445382832, False, 'best']
['vince32', 202546163, 'impression', '3', 240570501L, datetime.datetime(2013, 5, 23, 0, 16, 39), 0.315170405392125, False, 'best']
['vince32', 202546163, 'impression', '1', 240556897L, datetime.datetime(2013, 5, 23, 0, 16, 39), 0.479204895647282, False, 'best']
['vince32', 202546163, 'impression', '4', 241055496L, datetime.datetime(2013, 5, 23, 0, 16, 39), 0.293775437418636, False, 'best']
['vince32', 202546163, 'impression', '2', 240567469L, datetime.datetime(2013, 5, 23, 0, 16, 39), 0.399767444293596, False, 'best']

