['crazydollardeals', 202543862, 'impression', '5', 240525904L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.117326042610104, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240514563L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240525824L, datetime.datetime(2013, 5, 16, 14, 45, 59), 0.0709327024671827, False, 'time']
['crazydollardeals', 202543862, 'impression', '3', 240541764L, datetime.datetime(2013, 5, 16, 14, 46, 6), 0.085100615584787, False, 'time']
['crazydollardeals', 202543862, 'shortlist', '3', 240541764L, datetime.datetime(2013, 5, 16, 14, 46, 7), 0.085100615584787, False, 'time']
['crazydollardeals', 202543862, 'impression', '15', 240509933L, datetime.datetime(2013, 5, 16, 14, 46, 26), 0.0445034682873129, False, 'time']

['crazydollardeals', 202543862, 'impression', '17', 240504235L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.174229803837848, False, 'time']
['crazydollardeals', 202543862, 'impression', '13', 240514435L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.0937570616668443, True, 'time']
['crazydollardeals', 202543862, 'impression', '19', 240504048L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.326681950093918, False, 'time']
['crazydollardeals', 202543862, 'impression', '20', 240503550L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.172509323289984, False, 'time']
['crazydollardeals', 202543862, 'impression', '15', 240510192L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.254132114717294, False, 'time']
['crazydollardeals', 202543862, 'impression', '10', 240522902L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.243776683097144, False, 'time']
['crazydollardeals', 202543862, 'impression', '12', 240514563L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.16857745356787, False, 'time']
['crazydollardeals', 202543862, 'impression', '6', 240525904L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.117326042610104, False, 'time']
['crazydollardeals', 202543862, 'impression', '7', 240525824L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.0709327024671827, False, 'time']
['crazydollardeals', 202543862, 'impression', '11', 240519380L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.322517746373968, False, 'time']
['crazydollardeals', 202543862, 'impression', '9', 240524683L, datetime.datetime(2013, 5, 16, 15, 51, 43), 0.0611946933379737, False, 'time']
