['leon740gk', 202540118, 'hide', '2', 240459987L, datetime.datetime(2013, 5, 16, 6, 22, 50), 0.349668587950094, False, 'time']

['leon740gk', 202540118, 'impression', '6', 240434073L, datetime.datetime(2013, 5, 16, 14, 56, 21), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435878L, datetime.datetime(2013, 5, 16, 14, 56, 21), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240441619L, datetime.datetime(2013, 5, 16, 14, 56, 21), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240517000L, datetime.datetime(2013, 5, 16, 14, 56, 21), 0.30716401657515, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435730L, datetime.datetime(2013, 5, 16, 14, 56, 21), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240534272L, datetime.datetime(2013, 5, 16, 14, 56, 21), 0.167192180647466, False, 'time']
['leon740gk', 202540118, 'hide', '1', 240534272L, datetime.datetime(2013, 5, 16, 14, 56, 24), 0.167192180647466, False, 'time']
['leon740gk', 202540118, 'view_full_application_via_message', '3', 240441619L, datetime.datetime(2013, 5, 16, 14, 56, 32), 0.359805457848029, False, 'time']

['leon740gk', 202540118, 'impression', '2', 240644513L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.109567767110632, False, 'time']
['leon740gk', 202540118, 'impression', '6', 240435730L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240645255L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.377210116689671, False, 'time']
['leon740gk', 202540118, 'impression', '3', 240517000L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.30716401657515, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240441619L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435878L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.608507302931727, False, 'time']
['leon740gk', 202540118, 'impression', '7', 240434073L, datetime.datetime(2013, 5, 18, 6, 17, 55), 0.583047746956907, False, 'time']
['leon740gk', 202540118, 'hide', '2', 240644513L, datetime.datetime(2013, 5, 18, 6, 18, 2), 0.109567767110632, False, 'time']
['leon740gk', 202540118, 'expand_tile', '1', 240645255L, datetime.datetime(2013, 5, 18, 6, 18, 6), 0.377210116689671, False, 'time']
['leon740gk', 202540118, 'view_full_application', '1', 240645255L, datetime.datetime(2013, 5, 18, 6, 18, 36), 0.377210116689671, False, 'time']

['leon740gk', 202540118, 'impression', '3', 240441619L, datetime.datetime(2013, 5, 20, 8, 53, 39), 0.359805457848029, False, 'time']
['leon740gk', 202540118, 'impression', '1', 240645255L, datetime.datetime(2013, 5, 20, 8, 53, 39), 0.377210116689671, False, 'time']
['leon740gk', 202540118, 'impression', '5', 240435730L, datetime.datetime(2013, 5, 20, 8, 53, 39), 0.283548438405065, False, 'time']
['leon740gk', 202540118, 'impression', '2', 240517000L, datetime.datetime(2013, 5, 20, 8, 53, 39), 0.30716401657515, False, 'time']
['leon740gk', 202540118, 'impression', '4', 240435878L, datetime.datetime(2013, 5, 20, 8, 53, 39), 0.608507302931727, False, 'time']
